Ref Number,Date/time received,Page Title,Page URL,What's wrong,Details,Topic,Personal info (Y/N),Notes
05/20-0061,Mon May 11 2020 22:53:51 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,how long will cover live on paper and cardboard,Virus survival - how long it lives on surfaces,,
05/20-0062,Mon May 11 2020 22:55:56 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,I am wondering if a person should stay home after their symptoms of a cold (non-confirmed COVID-19) for 14 additional days? What is the risk of being out in the community immediately after symptoms subside?,Contagious - how long,,
05/20-0063,Mon May 11 2020 23:02:29 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,,Contagious - after isolation,,
05/20-0064,Mon May 11 2020 23:28:08 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,"I hear people talking about being a ""covid carrier"" what does that mean?",COVID carrier - what does that mean,,
05/20-0065,Mon May 11 2020 23:46:37 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Prévention et risques,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/prevention-risques.html,The answer I need is missing,"Bonsoir j’ai essayé à plusieurs reprise de trouvé une réponse à ma situation. Tous n’a aucune idée, car ma situation est pour la santé public. ma question: est-ce obligatoire de déclaré à mon employeur no.1 que j’ai un emploi à l’hôpital employeur no.2? est-ce obligatoire pour la santé public?",Workplace - 2 jobs - compulsory to tell employer at job #2 that also have a job in a hospital,,
05/20-0067,Tue May 12 2020 00:34:44 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,Do we need to be concerned with people dropping light cigarette butts over their balcony and it falling onto our patio,Spread - Cigarette butts,,
05/20-0068,Tue May 12 2020 00:43:09 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,The answer I need is missing,,No details,,
05/20-0070,Tue May 12 2020 02:05:35 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,,No details,,
05/20-0071,Tue May 12 2020 02:21:32 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,Can I visit unrelated friends in their home?,No details,,
05/20-0078,Tue May 12 2020 04:43:22 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Prévention et risques,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/prevention-risques.html,The answer I need is missing,"Où, comment puis-je obtenir réponse à une question très précise : Le Coronavirus peut-il se transmettre sexuellement lors de : - baisers - cunnilingus - fellation par exemple... ?","Transmission - Sexually transmitted, oral sex",,
05/20-0079,Tue May 12 2020 04:54:39 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,If your sense of smell is gone- isn’t that a sign something is wrong? You,Symptoms - Loss of sense of smell,,
05/20-0081,Tue May 12 2020 07:07:05 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,We have wedding event on June 26. I know 50 persons are allowed in gathering but how it will work ? I need detail. Also outside catering is allowed or not...,Permissible activities - Social contact - Wedding,Yes,
05/20-0083,Tue May 12 2020 11:32:40 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,,No details,,
05/20-0086,Tue May 12 2020 11:56:32 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,The answer I need is missing,,No details,,
05/20-0088,Tue May 12 2020 09:43:17 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,How long does the coronavirus life on coin?,Virus survival - how long it lives on surfaces,,
05/20-0091,Tue May 12 2020 10:51:31 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,The answer I need is missing,,No details,,
05/20-0092,Tue May 12 2020 11:00:40 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,"If you become ill with just a normal flu, Does the 14 day precaution isolation period begin after you are symptom free?",Quarantine - For normal flu,,
05/20-0093,Mon May 11 2020 18:22:45 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,how long is a person contagious prior to symptoms? you only talk about the incubation period. thank you,Contagious - how long,,
05/20-0094,Mon May 11 2020 20:44:20 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,,No details,,
05/20-0095,Mon May 11 2020 21:02:35 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,,No details,,
05/20-0096,Mon May 11 2020 21:37:39 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,How long to isolate after being diagnosed. Important for co-workers to understand the protocol,Confirmed case - how long to isolate,,
05/20-0097,Tue May 12 2020 00:12:55 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,,No details,,
05/20-0098,Tue May 12 2020 00:21:45 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,,No details,,
05/20-0099,Tue May 12 2020 00:35:36 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,,No details,,
05/20-0100,Tue May 12 2020 00:38:26 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,,No details,,
05/20-0101,Tue May 12 2020 01:13:45 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,,No details,,
05/20-0102,Tue May 12 2020 02:34:35 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,I was looking for the stages and there not here,Illness - Stages of disease / course of illness,,
05/20-0103,Tue May 12 2020 09:58:42 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,,No details,,
05/20-0104,Tue May 12 2020 10:23:47 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,what is the medical advice for canadians diagnosed with covid? is the use of ice the counter medications to treat symptoms reconsider?,Treatment - treating COVID-19 at home,,
05/20-0105,Tue May 12 2020 12:25:17 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,"Not all of the symptoms are mentioned, ie. muscle pain.",Symptoms - missing muscle pain,,
05/20-0106,Tue May 12 2020 12:29:37 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,The answer I need is missing,,No details,,
05/20-0110,Tue May 12 2020 13:59:27 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,,No details,,
05/20-0112,Tue May 12 2020 14:44:47 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,,No details,,
05/20-0113,Tue May 12 2020 14:46:42 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,The answer I need is missing,"Ont as ete malade a la mie fevrier, ma conjointe a ete voire son medecin et lui as dit qu'elle avait une pneumonie et moi tomber malade le 15 fevrier (ce qui semblais une grippe) partie en Republique Dominican le dimanche et la bas jai eu une fievre et meme perdus le sens du gouter pour un jour ou 2","Symptoms - Fever, pneumonia, loss of sense of taste",,
05/20-0114,Tue May 12 2020 14:47:31 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,"Head to toe sandpaper rash, stomach ache, fatigued. No fever initially, then low grade fever. 7 years old.","Symptoms - Child - rash, stomach ache, fatigue, fever later",,
05/20-0116,Tue May 12 2020 15:16:26 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,"I would like to know how COVID-19 progresses in a given individual. Are the symptoms constant and do they worsen, or do they come and go?","Symptoms - stages, change over time",,
05/20-0118,Tue May 12 2020 15:52:36 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Prévention et risques,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/prevention-risques.html,The answer I need is missing,J'aimerais savoir s'il est possible de faire du co-voiturage d'une durée de 1h30 environ,Permissible activities - Carpool,,
05/20-0119,Tue May 12 2020 15:37:37 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,The answer I need is missing,Je suis inquiète de mes symptômes depuis le debut ma montre apple whach arrete pas de me dire que je fais de la fibrillation auculaire est ce que sais un symthome covid19 je suis positive depuis le 2 mai,Symptoms - Atrial fibrillation,,
05/20-0123,Tue May 12 2020 12:13:59 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,What about paperwork that is passed from a traveler to another who is expected to handle the paperwork plus touching pen and keyboard.,"Transmission - Travelers - shared pens, keyboards",,
05/20-0127,Tue May 12 2020 16:13:56 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,how does a covid sick person manage the disease?????,Treatment - treating COVID-19 at home,,
05/20-0130,Tue May 12 2020 16:32:29 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,"Can COVID-19 be contracted twice? If you have symptoms and test positive, isolate for 14 days and then begin living with people again, can you contract COVID-19 from someone else a second time?",Immunity - possible to get COVID-19 twice,,
05/20-0131,Tue May 12 2020 16:52:44 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Prévention et risques,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/prevention-risques.html,The answer I need is missing,Peut-on embarquer en auto avec une personne qui n'habite pas à la même adresse pour aller faire l'épicerie...???,Permissible activities - Carpool for grocery shopping,,
05/20-0132,Tue May 12 2020 17:03:07 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,Chest pain( maybe angina) sweating Dizzy,"Symptoms - Chest pain, sweating, dizzy",,
05/20-0134,Tue May 12 2020 17:20:26 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Prévention et risques,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/prevention-risques.html,The answer I need is missing,Est-ce que les masques n-95 peuvent nous protéger des virus?,Face mask - Effectiveness of N-95,,
05/20-0135,Tue May 12 2020 17:27:17 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,"After testing positive and remaining in self-isolation for 14 days, should a second test be done before the individual is allowed back at the workplace if they are an essential worker?",Confirmed case - after 14-days isolation is a negative test required to be able to go back to work,,
05/20-0138,Tue May 12 2020 17:50:31 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,The temperature is missing,Symptoms - Fever temperature,,
05/20-0139,Tue May 12 2020 17:51:56 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,Temperature consider a fever,Symptoms - Fever temperature,,
05/20-0140,Tue May 12 2020 17:52:52 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Prévention et risques,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/prevention-risques.html,The answer I need is missing,Est-ce que la circulation entre l’Ontario et le Québec est permise?,Travel - Borders open between provinces,,
05/20-0142,Tue May 12 2020 18:12:31 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Prévention et risques,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/prevention-risques.html,The answer I need is missing,"Bonjour , j'ai un employé qui doit aller avec son pere et son frere a montreal pour déménager les biens de la résidence pour ainés ou demeurait sa grand mere qui est décédée....quelles sont les précautions a prendre en tant qu'employeur et dois je obtenir certaines informations de sa part ....",Workplace - Employer precautions with employee moving property of deceased relative from seniors residence,,
05/20-0143,Tue May 12 2020 18:31:31 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,The answer I need is missing,Je recherche de l'information sur le covoiturage en période de covid-19,Permissible activities - Carpool,,
05/20-0013,Mon May 11 2020 14:45:00 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The information isn’t clear,"I would like to know, if I go to the grocery store or for a walk, can I transmit the virus on my shoes or jacket and come home and infect others in the house, is leaving my shoes at the door enough or do I have to disinfect them.",Risk - Infection spread - to others in house from clothing worn to grocery store/on walk,,
05/20-0017,Mon May 11 2020 14:59:11 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The information isn’t clear,"Standards for masks, whats acceptable what isnt.",Face mask - Standards,,
05/20-0049,Mon May 11 2020 20:57:57 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The information isn’t clear,,No details,,
05/20-0051,Mon May 11 2020 21:19:47 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The information isn’t clear,I would please like to know what the symtem s are for the virus please,Symptoms - what are they,,
05/20-0074,Tue May 12 2020 03:33:12 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The information isn’t clear,Are there other symptoms other than the ones listed for covid19,Symptoms - More than those listed,,
05/20-0080,Tue May 12 2020 05:28:20 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The information isn’t clear,"Too vague, wishing to capture all? I have no contact with anyone, but sore throat, mucus, fever 100F, stomach upset, bad headache, trouble breathing, pain all over, but thanks to COVID-19 no asthma injections (severe asthmatic), and no ketamine infusions for pain. GP & Resperoligist hiding.",Symptoms - All of them,,
05/20-0115,Tue May 12 2020 15:07:24 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The information isn’t clear,mor symptoms not anof clear,Symptoms - more details/info,,
05/20-0141,Tue May 12 2020 17:53:00 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The information isn’t clear,Wanting to know if flying from vancouver to ottawa in June has any restrictions,Travel - Domestic air travel - restrictions,,
05/20-0146,Tue May 12 2020 18:57:04 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,,ou puis-je aller pour passer le test?,COVID-19 test - Where to get a test,,
05/20-0147,Tue May 12 2020 19:03:18 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Prévention et risques,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/prevention-risques.html,,"Où puis-je aller pour un test de dépistage, je demeure à Ville St-Laurent.",COVID-19 test - Where to get a test,,
05/20-0148,Tue May 12 2020 19:14:16 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,The answer I need is missing,adresse des sites de depistage,COVID-19 test - Where to get a test,,
05/20-0149,Tue May 12 2020 19:27:47 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,,Who to contact to report breaking isolation rules,Quarantine/isolation - Report rule breaking,,
05/20-0150,Tue May 12 2020 19:41:15 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,,je veux parler à quelqu'un,Contact info,,
05/20-0151,Tue May 12 2020 19:51:47 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,,I got the CERB payment in April but not this May,Financial support - For individuals - Payment,,
05/20-0152,Tue May 12 2020 19:52:45 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,I got the payment for CERB in April but not this May,Financial support - For individuals - Payment,,
05/20-0153,Tue May 12 2020 19:58:28 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,Does this start slowly in lungs producing small changes over time?,Symtoms - Stages of disease / course of illness,,
05/20-0154,Tue May 12 2020 20:02:11 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The information isn’t clear,I want to know if I have to take any extra precautions if I want to make a home-cooked meal for a front line worker,Front line worker - Precautons to take cooking a meal for,,
05/20-0155,Tue May 12 2020 20:04:56 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,Other reason,Can I mow the lawn and do gardening? Can I finish my basement?,"Permissable activities - Mowing lawn, gardening, home renovations",,
05/20-0156,Tue May 12 2020 20:07:34 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,Other reason,Looking for a progression of symptoms leading up to full blown covid,Symptoms - Stages of disease / course of illness,,
05/20-0157,Tue May 12 2020 20:19:21 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,,retour au travail,Workplace - return to work,,
05/20-0158,Tue May 12 2020 20:43:17 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,,students financial support,Financial support - For individuals - Students,,
05/20-0159,Tue May 12 2020 20:44:24 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,Other reason,Its pretty good.,Feedback unclear,,
05/20-0160,Tue May 12 2020 20:52:32 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Prévention et risques,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/prevention-risques.html,,Est ce que je peux reprendre les ménages dans les maisons privée?,Permissable actvities - cleaning other people's houses,,
05/20-0161,Tue May 12 2020 20:58:17 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Prévention et risques,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/prevention-risques.html,The answer I need is missing,"Après avoir passé un test négatif au Covid 19, est ce que je dois être quand même en quarantaine pour 14 jours?","Quarantine - if negative test, is 14 days still required",,
05/20-0162,Tue May 12 2020 21:07:52 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,,I know if someone not isolating and he just got back from equador less than a wk ago. What should I do?,Quarantine/isolation - Report rule breaking,,
05/20-0163,Tue May 12 2020 21:18:27 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,Other reason,What can I do to treat myself with covid,Treatment - treating COVID-19 at home,,
05/20-0164,Tue May 12 2020 21:18:42 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,The answer I need is missing,,No details,,
05/20-0165,Tue May 12 2020 21:18:48 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,The answer I need is missing,Est-ce qu’une personne testée positive et qui dit n’avoir aucun symptôme peut décéder quand même?,Confirmed case - death possible if asymptomatic,,
05/20-0166,Tue May 12 2020 21:20:56 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,,"Once you are tested, how long do you need to wait for results and if NOT infected, can you be with loved ones (who are also NOT infected) the next day?",COVID-19 test - How long for results,,
05/20-0167,Tue May 12 2020 21:39:23 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,,No details,,
05/20-0168,Tue May 12 2020 21:53:43 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,,No details,,
05/20-0169,Tue May 12 2020 22:02:05 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Prevention and risks,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html,I’m not in the right place,,No details,,
05/20-0170,Tue May 12 2020 22:09:46 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,,I just getting dizzy spells - like Vertigo !,Symptoms - Dizzy spells,,
05/20-0171,Tue May 12 2020 22:22:22 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,The answer I need is missing,Quand dois je consulter Actuellement maux de gorge perte d énergie fatigue corporelle leger écoulement nasal Je travail dans une école,Symtoms - Should I go to a doctor if I have these symptoms,,
05/20-0172,Tue May 12 2020 22:26:06 GMT+0000 (Coordinated Universal Time),Maladie à coronavirus (COVID-19) : Symptômes et traitement,/content/canadasite/fr/sante-publique/services/maladies/2019-nouveau-coronavirus/symptomes.html,The answer I need is missing,Quand un employée est testée positif est ce que les autres employers qu’il a fréquenter doit s’auto isoler ?,Workplace - Employee tests positive - do other employees have to isolate,,
05/20-0173,Tue May 12 2020 22:27:37 GMT+0000 (Coordinated Universal Time),Coronavirus disease (COVID-19): Symptoms and treatment,/content/canadasite/en/public-health/services/diseases/2019-novel-coronavirus-infection/symptoms.html,The answer I need is missing,"I was tested and diagnosed with covid 19 in March and now I have recovered. I am abroad and will need to travel back to Canada, what are the procedures for this situation?",Travel - Return to Canada - after recovering abroad from COVID,,
