Unique ID,Page URL,What's wrong,Details,Tasks,Info exists,Actionable,Topic - HC,Date
05/20-0178,Symptoms EN,The answer I need is missing,I was looking for the stages and there not here,What to do when sick,,,Illness - Stages of disease / course of illness,
05/20-0179,Symptoms EN,The answer I need is missing,what is the medical advice for canadians diagnosed with covid? is the use of ice the counter medications to treat symptoms reconsider?,What to do when sick,,,Treatment - treating COVID-19 at home,
05/20-0180,Symptoms EN,The answer I need is missing,"Not all of the symptoms are mentioned, ie. muscle pain.",Symptoms,,,Symptoms - missing muscle pain,
05/20-0181,Symptoms EN,,What temperature in Fahrenheit should I be concerned that it could be covid 19,Symptoms,,,Symptoms - Fever - what temperature,
05/20-0182,Symptoms EN,The answer I need is missing,"Head to toe sandpaper rash, stomach ache, fatigued. No fever initially, then low grade fever. 7 years old.",Symptoms,,,"Symptoms - Child - rash, stomach ache, fatigue, fever later",
05/20-0183,Symptoms EN,The information isn’t clear,mor symptoms not anof clear,Symptoms,,,Symptoms - more details/info,
05/20-0184,Symptoms EN,The answer I need is missing,"I would like to know how COVID-19 progresses in a given individual. Are the symptoms constant and do they worsen, or do they come and go?",What to do when sick,,,"Symptoms - stages, change over time",
05/20-0185,Symptoms EN,,If the nasal test is taken today when will I know the results?,Testing,,,COVID-19 test - How long for results,
05/20-0186,Symptoms EN,,I am trying to get the results of my coved-19 test done last week! Neither the Health Unit or I can find the link to results!! I have tried coved-19.ontario.ca and there is NOT a spot there!! Can you please help,Testing,,,COVID-19 test - Looking for test results,
05/20-0187,Symptoms EN,,loose stools,Symptoms,,,Symptoms - Loose stools,
05/20-0188,Symptoms EN,The answer I need is missing,"Can COVID-19 be contracted twice? If you have symptoms and test positive, isolate for 14 days and then begin living with people again, can you contract COVID-19 from someone else a second time?",Re-infection,,,Immunity - possible to get COVID-19 twice,
05/20-0189,Symptoms EN,The answer I need is missing,Chest pain( maybe angina) sweating Dizzy,Symptoms,,,"Symptoms - Chest pain, sweating, dizzy",
05/20-0190,Symptoms EN,Other reason,Mucus type of a caugh,Symptoms,,,Symptoms - cough with mucus,
05/20-0191,Symptoms EN,The answer I need is missing,The temperature is missing,Symptoms,,,Symptoms - Fever temperature,
05/20-0192,Symptoms EN,The answer I need is missing,Temperature consider a fever,Symptoms,,,Symptoms - Fever temperature,
05/20-0193,Symptoms EN,,Temperatures are not listed on the symptoms section?,Symptoms,,,Symptoms - Fever temperature,
05/20-0194,Symptoms EN,,I got the CERB payment in April but not this May,Financial support,,,Financial support - For individuals - Payment,
05/20-0195,Symptoms EN,The answer I need is missing,I got the payment for CERB in April but not this May,Financial support,,,Financial support - For individuals - Payment,
05/20-0196,Symptoms EN,The answer I need is missing,Does this start slowly in lungs producing small changes over time?,Symptoms,,,Symtoms - Stages of disease / course of illness,
05/20-0197,Symptoms EN,Other reason,Looking for a progression of symptoms leading up to full blown covid,Symptoms,,,Symptoms - Stages of disease / course of illness,
05/20-0198,Symptoms EN,Other reason,Its pretty good.,,n,,Feedback unclear,
05/20-0199,Symptoms EN,Other reason,What can I do to treat myself with covid,What to do when sick,,,Treatment - treating COVID-19 at home,
05/20-0200,Symptoms EN,,I just getting dizzy spells - like Vertigo !,Symptoms,,,Symptoms - Dizzy spells,
05/20-0201,Symptoms EN,The answer I need is missing,"I was tested and diagnosed with covid 19 in March and now I have recovered. I am abroad and will need to travel back to Canada, what are the procedures for this situation?",Travel back to Canada,,,Travel - Return to Canada - after recovering abroad from COVID,
05/20-0202,Symptoms EN,,Looking for return to work guidelines,Workplace,,,Workplace - return to work guidelines,
05/20-0203,Symptoms EN,The answer I need is missing,"If the vaccine is based on a live culture, some people will not be able to use it due to an allergic reaction. What should these people do?",Vaccine,,,Vaccine - Allergic reaction,
05/20-0204,Symptoms EN,The answer I need is missing,If you quarantine for 14 days but still have symptoms at the end of 14 days how long do you continue to quarantine?,Quarantine guidelines,,,Quarantine - After 14 days still have symptoms,
05/20-0205,Symptoms EN,Other reason,Question: When does a person who has COVID LOOSE THE ABILITY TO INFECT OTHERS? is it 10 days after onset of symptoms? Is it after all symptoms are gone and they are well? or do they continue to infect others for a long period of time?,Contagious,,,Contagious - how long,
05/20-0206,Symptoms EN,The answer I need is missing,Treatment for hospital covid 19,What to do when sick,,,Treatment - treating COVID-19 in hospital,
05/20-0207,Symptoms EN,The answer I need is missing,What is the treatment in the hospital?,What to do when sick,,,Treatment - treating COVID-19 in hospital,
05/20-0208,Symptoms EN,,"I have a general feeling of malaise - nausea, gas, bloating, cough which is normal due to hiatus hernia, difficulty breathing which is normal due to asthma & allergies",Symptoms,,,Symptoms - other conditions,
05/20-0209,Symptoms EN,The answer I need is missing,Can u tell me what coronavirus is,What is COVID,,,What is COVID-19 - More info/details,
05/20-0210,Symptoms EN,The answer I need is missing,what are the complications for adults,Symptoms,,,Symptoms - Complications,
05/20-0211,Symptoms EN,,Symptoms all Conjunctivitis,Symptoms,,,Symptoms - Conjunctivitis,
05/20-0212,Symptoms EN,,"My sister has tested positive and works at long term care. She has followed all the proper guide lines. She has tester fore more time and is still positive. They have called her to say her case is closed. She has not seen her test and is scared to go back to work, she is scared that she can spread",Contagious,,,Workplace - Longterm care - Tested positive,
05/20-0213,Symptoms EN,,Does corvid19 always start in the nasal passage and is that why they swab the nose,Course of illness,,,Spread - Nose,
05/20-0214,Symptoms EN,The answer I need is missing,When do you know you are free from the virus..have had a positive negative then 2 days after positive test self isolation for 14 days before 1st positive started April 3 and have had no contact except for testing at hospital ..still in isolation.,Contagious,,,Quarantine - After 14 days - Safe,
05/20-0215,Symptoms EN,,What is covid 19,What is covid,,,What is COVID-19 - More info/details,
05/20-0216,Symptoms EN,The answer I need is missing,what treatment should be used to treat the coronavirus in patient recovering at home? Is there anything in particular,What to do when sick,,,Treatment - treating COVID-19 at home,
05/20-0217,Symptoms EN,,I was looking for my results from corn-19 testing done over a week ago..Catherine,Testing,,,Feedback unclear,
05/20-0218,Symptoms EN,The answer I need is missing,"You need to update your symptom list like Alberta’s and pneumonia is not a symptom, but a diagnosis or condition.",Symptoms,,,Symptoms - More info/details - See Alberta,
05/20-0219,Symptoms EN,The answer I need is missing,Is there and cure for the corona? just wondering hope you have a great day,Cure,,,Vaccine - Cure,
05/20-0220,Symptoms EN,,Where can I find out my test results,Testing,,,COVID-19 test - Results,
05/20-0221,Symptoms EN,,"I can smell a smokers smoke from over 20 feet away. Covid does not smell but travels in the air. Can I breathe in the virus from 20 feet away and if so, what kink of a mask should I were to prevent myself from getting covid.",Transmission detail,,,Spread - Possible by air more than 2 feet away,
05/20-0222,Symptoms EN,,airborne virus,Transmission detail,,,Feedback unclear,
05/20-0223,Symptoms EN,The answer I need is missing,all symptoms of coronavirus,Symptoms,,,Symptoms - More info/details,
05/20-0224,Symptoms EN,,All the symptoms,Symptoms,,,Symptoms - More info/details,
05/20-0225,Symptoms EN,Other reason,whay does a carona virus do to a human body?,Course of illness,,,Illness - Stages of disease / course of illness,
05/20-0226,Symptoms EN,The answer I need is missing,"you should not put title ""treating"", since you provide zero information about it",What to do when sick,,,Treatment - No informaiton,
05/20-0227,Symptoms EN,The answer I need is missing,"how do you treat Covid 19 related symptoms?e.g. what cough medication to use, for diarrhea is it OK to use anti-motility agent or just electrolyte replacement, etc.",What to do when sick,,,,
05/20-0228,Symptoms EN,The answer I need is missing,That’s a very incomplete list of possible symptoms.,Symptoms,,,,
05/20-0229,Symptoms EN,,I want to know where the tests of the covid 19 are carried out,Testing,,,,
05/20-0230,Symptoms EN,The answer I need is missing,Other website have stated that if you develop a rash it could be considered a symptom. What kind of rash?,Symptoms,,,,
05/20-0231,Symptoms EN,Other reason,"Information is too brief, lacks detail",,,,,
05/20-0232,Symptoms EN,The answer I need is missing,"They did not say what ""specific"" symptoms to watch for.",Symptoms,,,,
05/20-0233,Symptoms EN,The answer I need is missing,Can you have symptoms that come and go.,Symptoms,,,,
05/20-0234,Symptoms EN,The answer I need is missing,Looking for lots of all suspected side effects of covi19,Course of illness,,,,
05/20-0235,Symptoms EN,The answer I need is missing,I’m sick but haven’t been tested. I have self isolated since day one as I have an underlying lung condition. If I’m already staying home and out of contact do I just wait and hope to feel better or is there something else I should be doing?,What to do when sick,,,,
05/20-0236,Symptoms EN,Other reason,Please don't wait for symptoms of breathing. Early intervention can save your ventilators and the bonus for the CEO's,,,,,
05/20-0237,Symptoms EN,,Isolation place,Self-isolation guidelines,,,,
05/20-0238,Symptoms EN,,I think I have corona,,,,,
05/20-0239,Symptoms EN,,What are symptoms of the virus,Symptoms,,,,
05/20-0240,Symptoms EN,The answer I need is missing,Runny nose has nothing to do with covid eh?,Symptoms,,,,
05/20-0241,Symptoms EN,The answer I need is missing,List of symptoms,Symptoms,,,,
05/20-0242,Symptoms EN,The answer I need is missing,Bloodclots,Symptoms,,,,
05/20-0243,Symptoms EN,,phone number to call covid 19 test results phone number for calls test results,Testing,,,,
05/20-0244,Symptoms EN,The information isn’t clear,"I want to know what the symptoms can be, not vague symptoms 'like a flu or cold"" - insufficient information",Symptoms,,,,
05/20-0245,Symptoms EN,,"I was looking for the name of the virus that causes COVID-19, maybe SARS-CoV-2 ?",What is COVID,,,,
05/20-0246,Symptoms EN,,My brother lives in Muskoka and has every symptom and has been sick for a number of days. Where can he go to get tested. Lives near Gravenhurst,Testing,,,,
05/20-0247,Symptoms EN,,5 days after being exposed to virus you get sick?,Transmission exposure,,,,
05/20-0248,Symptoms EN,The answer I need is missing,I would like to know how long symptoms of coronavirus last.,Course of illness,,,,
05/20-0249,Symptoms EN,Other reason,enquiring about news report of red inflammation on single toe as a virus symptoms. True or false.,Symptoms,,,,
05/20-0250,Symptoms EN,The answer I need is missing,They are saying there are other symptoms but none are listed here,Symptoms,,,,
05/20-0251,Symptoms EN,The answer I need is missing,Fever temperature for someone infected.,Symptoms,,,,
05/20-0252,Symptoms EN,The answer I need is missing,Information on how to reduce symptoms at home would be useful,What to do when sick,,,,
05/20-0253,Symptoms EN,,Are cold sores an indication of Covid -19 ?,Symptoms,,,,
05/20-0254,Symptoms EN,,Is sneezing and itchy skin a symptom of the disease?,Symptoms,,,,
05/20-0255,Symptoms EN,The information isn’t clear,What temperature is considered a fever?,Symptoms,,,,
05/20-0256,Symptoms EN,Other reason,I want biological answers to my question,Symptoms,,,,
05/20-0257,Symptoms EN,,what are the symptons,Symptoms,,,,
05/20-0258,Symptoms EN,I’m not in the right place,I am looking for test results,Testing,,,,
05/20-0259,Symptoms EN,,I have a severe headache and do not get any relief with pain relievers could this be covid 19 related,Symptoms,,,,
05/20-0260,Symptoms EN,The information isn’t clear,"If sars and Mers are part of the carona virus, why was it that Canada and the rest of the world were so unprepared for it and didn’t really know how to treat it. Should China be held responsible for this ?",Responsibility,,,,
05/20-0261,Symptoms EN,Something is broken or incorrect,"YOUR PAGE MOVES TOO FAST, DOES NOT GIVE ME A CHANCE TO READ, I'M NOT A SPEED READER",Design,,,,
05/20-0262,Symptoms FR,The answer I need is missing,Moi garçon testé positif après 14jour encor des symptôme,,,,Feedback unclear,
05/20-0263,Symptoms FR,,Pendant combien de temps pouvons-nous avoir des symptômes et combien de temps pouvons-nous être contagieux. Est-ce que les symptômes peuvent durer plus de 14 jours?,,,,Contagious - how long,
05/20-0264,Symptoms FR,,je veux savoir combien de temps a ce moment pour recevoir un resultat de test covid19... pour ma région géographique.... La ligne covid 19 ne peut dire et le temps metionner de l hopital est fautif.....C est très frustrant et est ce que mon test a bien ete recu et fait?????????????,,,,COVID-19 test - How long for results,
05/20-0265,Symptoms FR,The answer I need is missing,"J'aimerais avoir les coordonnées téléphoniques car a la demande de CHUS, on me demande d'aller passer le test pour la covid vu mes symptômes",,,,COVID-19 test - Where to get a test,
05/20-0266,Symptoms FR,I’m not in the right place,Jaimerais savoir pour le co voiturage..... dois je avoir mon passager en arriere ou il peut etre assis a cote moi,,,,Permissible activities - Carpool - where passengers should sit - back seat or front seat,
05/20-0267,Symptoms FR,The answer I need is missing,Enfant ayant urticaire sur bras quoi faire ?,,,,Treatment - child with hives on arm,
05/20-0268,Symptoms FR,Other reason,endroit pour passer le test a drummondville,,,,COVID-19 test - Where to get a test,
05/20-0269,Symptoms FR,The answer I need is missing,"Est-ce qu'il est possible de passer un test pour savoir si on a eu le covid, pour être en mesure de retourner au travail sans avoir peur de l'attrapper",,,,COVID-19 test - Can we get tested to see if we already had COVID and are safe to return to work,
05/20-0270,Symptoms FR,Other reason,"Ma tempéreture corporelle monte et redescend depuis 2 jours et j'ai ma l aux membres mais plus aux jambes,Je tousse et j'ai comme une infection dans le nez et aux parties intimesça pique.Donc je veux savoir si mes symptômes pourrait être le coronavirus.",,,,Symptoms - do I have COVID,
05/20-0271,Symptoms FR,Other reason,Es til normal que le temps d avoir le resultat du test prend plus que 72h quand il te dise entre 48h et 72h,,,,COVID-19 test - How long for results,
05/20-0272,Symptoms FR,The answer I need is missing,Une personne qui a le covid-19 combien de jours était t'elle contagieuse avant les symptômes,,,,Contagious - how long,
05/20-0273,Symptoms FR,The answer I need is missing,Quand on travail et qu'on met notre vie en danger il y a un revenu de 100$ /sem je veux m'inscrire merci .Je suis chauffeur d autobus scolaire,,,,Feedback not clear,
05/20-0274,Symptoms FR,,Je suis de Québec est ce que je peux aller visiter mon frère à terrebonne pour2 jours,,,,Permissible activities - Social contact,
05/20-0275,Symptoms FR,Other reason,comment et ou pour les clinique de depistage?,,,,COVID-19 test - Where to get a test,
05/20-0276,Symptoms FR,I’m not in the right place,Je voudrais savoir quel site je dois visiter pour savoir si les frontières sont ouvertes pour l'Espagne & France aux voyageurs internationaux,,,,Travel - Borders open in other countries,
05/20-0277,Symptoms FR,,la fievre apparait combien de temps apres la toux,,,,"Symptoms - Fever, cough - when do they appear",
05/20-0278,Symptoms FR,The answer I need is missing,"Ont as ete malade a la mie fevrier, ma conjointe a ete voire son medecin et lui as dit qu'elle avait une pneumonie et moi tomber malade le 15 fevrier (ce qui semblais une grippe) partie en Republique Dominican le dimanche et la bas jai eu une fievre et meme perdus le sens du gouter pour un jour ou 2",,,,"Symptoms - Fever, pneumonia, loss of sense of taste",
05/20-0279,Symptoms FR,The answer I need is missing,Je suis inquiète de mes symptômes depuis le debut ma montre apple whach arrete pas de me dire que je fais de la fibrillation auculaire est ce que sais un symthome covid19 je suis positive depuis le 2 mai,,,,Symptoms - Atrial fibrillation,
05/20-0280,Symptoms FR,I’m not in the right place,J'ai droit à agence du revenu de canada a 500.00 . Car je suis à risque je suis asthmatique et m poc . J'ai besoin de savoir si jai besoin d une cessation d emploi . Si oui quest que mon employeur doit écrire sur ma cessation. J'ai mon papier de médecin en main,,,,Financial support - For individuals - Requirements,
05/20-0281,Symptoms FR,The answer I need is missing,Je recherche de l'information sur le covoiturage en période de covid-19,,,,Permissible activities - Carpool,
05/20-0282,Symptoms FR,,ou aller pour tester pour le covid,,,,COVID-19 test - Where to get a test,
05/20-0283,Symptoms FR,,ou puis-je aller pour passer le test?,,,,COVID-19 test - Where to get a test,
05/20-0284,Symptoms FR,The answer I need is missing,adresse des sites de depistage,,,,COVID-19 test - Where to get a test,
05/20-0285,Symptoms FR,,je veux parler à quelqu'un,,,,Contact info,
05/20-0286,Symptoms FR,,retour au travail,,,,Workplace - return to work,
05/20-0287,Symptoms FR,The answer I need is missing,Est-ce qu’une personne testée positive et qui dit n’avoir aucun symptôme peut décéder quand même?,,,,Confirmed case - death possible if asymptomatic,
05/20-0288,Symptoms FR,The answer I need is missing,Quand dois je consulter Actuellement maux de gorge perte d énergie fatigue corporelle leger écoulement nasal Je travail dans une école,,,,Symtoms - Should I go to a doctor if I have these symptoms,
05/20-0289,Symptoms FR,The answer I need is missing,Quand un employée est testée positif est ce que les autres employers qu’il a fréquenter doit s’auto isoler ?,,,,Workplace - Employee tests positive - do other employees have to isolate,
05/20-0290,Symptoms FR,,combien de test négatif est nécessaire pour être certain d'être négatif apres le civid-19,,,,COVID-19 test - How many negative results required to be sure,
05/20-0291,Symptoms FR,The answer I need is missing,Faut il avoir tout les symptomes pour etre atteint du covid 19,,,,Symptoms - Do you have to have them all,
05/20-0292,Symptoms FR,,Mon larron ma retirer du travail pour symptôme de gripe. Jai téléphoner pour savoir quoi fair. Et jatyend toujours un retour dapelle. Esse que je va travailler demain meme si jai las de nouvelle?????,,,,Feedback unclear,
05/20-0293,Symptoms FR,The answer I need is missing,Il me semble que les aînés pouvaient aller garder leurs petits enfants. Je crois avoir entendu cela. Pouvez vous confirmer,,,,Permissable activities - Look after grandchildren,
05/20-0294,Symptoms FR,The answer I need is missing,Ou passer teste de dépistage,,,,COVID-19 test - Where to get a test,
05/20-0295,Symptoms FR,The answer I need is missing,Quelle est le tratament,,,,Treatment - How to treat,
05/20-0296,Symptoms FR,The answer I need is missing,J’aimerais savoir si le fait de mettre de la crème hydratante après les nombreux lavages de main constitue une pellicule sur les mains qui peux faire en sorte d’attraper plus facilement le virus,,,,Prevention - Hand moisturizer a risk,
05/20-0297,Symptoms FR,The answer I need is missing,Test sérologique,,,,COVID-19 test - Serological test,
05/20-0298,Symptoms FR,,Lieu où je peux me rendre pour vérifier si je suis atteint,,,,COVID-19 test - Where to get a test,
05/20-0299,Symptoms FR,The answer I need is missing,"Comment peut-on avoir la Covid-29 si pas de température , juste maux de gorge et?",,,,"Symptoms - Sore throat, no fever",
05/20-0300,Symptoms FR,,Que doit-on faire après la quarantaine. Peut-on sortir de la chambre. ON n'a aucun symptôme. Comment doit-on vivre à la maison. Trois personnes chez moi sont testée positive et je suis le seul à ne pas passer le test et je n'ai aucun symptôme,,,,Quarantine - After 14 days - Safe,
05/20-0301,Symptoms FR,,Aucun symptôme mais j aimerais passer le test pour être plus sur,,,,COVID-19 test - No symptoms - Still want test,
05/20-0302,Symptoms FR,The answer I need is missing,Délai pour symptômes après avoir reçu des gouttelettes,,,,Symptoms - Time they take to appear after exposure to COVID-19,
05/20-0303,Symptoms FR,The answer I need is missing,Médicaments de soulagemente,,,,Treatment - Relief of symptoms,
05/20-0304,Symptoms FR,The answer I need is missing,"Si je suis atteinte et que j’habite seule avec mon fils, comment puis- je évite de le contaminer tout en continuant repas, ménage...",,,,Spread - Prevent spread in home when one person has COVID-19,
05/20-0305,Symptoms FR,,Article scientifique sur le covid 19,,,,Feedback unclear,
05/20-0306,Symptoms FR,,douleur et diaree,,,,Feedback unclear,
05/20-0307,Symptoms FR,I’m not in the right place,Ou passer un test du covid-19,,,,COVID-19 test - Where to get a test,
05/20-0308,Symptoms FR,The answer I need is missing,"D'où vient le nom ""COVID-19""",,,,COVID-19 - Origin of disease name,
05/20-0309,Symptoms FR,The answer I need is missing,Quoi faire si on a le corona virus,,,,Treatment - treating COVID-19 at home,
05/20-0310,Symptoms FR,Other reason,mesure de désinfection pour l'ouverture des garderies,,,,"Cleaning, disinfecting",
05/20-0311,Symptoms FR,The answer I need is missing,Je veux savoir les premiers symptômes,,,,,
05/20-0312,Symptoms FR,The answer I need is missing,"Hier aux questions réponses de TVA nouvelles vers 20 h Dr.Laurie Robichaud il expliquait la différence entre positif et détecté lors du résultat . Pourrais je avoir le reportage svp, Merci",,,,,
05/20-0313,Symptoms FR,The answer I need is missing,Bonjour J'ai mon père de 91 ans qui c'est présenté à l’hôpital pour traitement maladie aucun rapport au covid il est rester à l’hôpital environ 5 hrs et il l'on remis en 14 jours confinement. Il venais juste de pouvoir sortir. Je trouve cette situation anormale il est en grosse dépression.,,,,,
05/20-0314,Symptoms FR,The answer I need is missing,"Moi je voulais savoir si je pouvais faire une demande peu urgence,car moi quand il ont donner aux gens qui travaillait moi j'ai rien reçu car j'était arrete travail cause chururgie mais j'étais supposé de retourner aux travail le 30 mars mais vue la covid19",,,,,
05/20-0315,Symptoms FR,The answer I need is missing,Combien de jours Peut durer les symptômes?,,,,,
05/20-0316,Symptoms FR,The answer I need is missing,bonjour si je demeure avec ma mère de 73 ans et que je travail dans le commerce de détail doit-je y retourné ou non ?,,,,,
05/20-0317,Symptoms FR,Other reason,Je travaille construction le virus peut-il enter par une coupures mêmes légères,,,,,
05/20-0318,Symptoms FR,,Je veux rembourser du pcu que j’ai reçu en trop car recommencer à travailler temps plein,,,,,
05/20-0319,Symptoms FR,,Test corona virus,,,,,
05/20-0320,Symptoms FR,Other reason,est il normal de se faire demander de baisser notre masque lorsqu'on rentre dans un marchand (SAQ chambly) soit disant pour mesure de sécurité,,,,,
05/20-0321,Symptoms FR,The answer I need is missing,J'ai été très malade et je veux savoir comment on peut déterminer si c'était le covid ou non,,,,,
05/20-0322,Symptoms FR,,Je veux savoir les rassemblement sont permis,,,,,
05/20-0323,Symptoms FR,The answer I need is missing,Combien de temps une personne peut-elle être infectée?,,,,,
05/20-0324,Symptoms FR,The answer I need is missing,Combien de temps une personne peut elle être infectée?,,,,,
05/20-0325,Symptoms FR,The answer I need is missing,"Bonjour, j'ai le covid et ma période de confinement est lundi et j'ai encore des symptômes. Le rhume avec écoulement nasal. Que dois je faire si j'ai encore ce symptômes ? Passer un test ou attendre que ça passe avant de sorti?",,,,,
05/20-0326,Symptoms FR,The answer I need is missing,Comment je peux me soyeux Du covid 19?,,,,,
05/20-0327,Symptoms FR,The answer I need is missing,Tout les syndromes possible de la covid-19,,,,,
05/20-0328,Symptoms FR,The answer I need is missing,Cette nuit je me suis réveiller et j’étais toute en sueur .ces tu un smtome.,,,,,
05/20-0329,Symptoms FR,The answer I need is missing,"La conjointe d'un travailleur a testé positif. Elle continue d'avoir des symptômes. Elle est finalement testé négatif. Le travailleur est en isolement pendant 14jrs à partir de quand ? A partir du test positif, des derniers symptômes ou résultat négatif ? Merci",,,,,
05/20-0330,Symptoms FR,The answer I need is missing,Je voudrais savoir sa faire deux fois j’ai j’ai prestation urgence pis je pas ou faire remplir les choses à chaque mois .,,,,,
05/20-0331,Symptoms FR,Other reason,"J,ai mal a la gorge la meilleure recette",,,,,
05/20-0332,,,,,,,,
05/20-0333,Prevention+risks FR,The answer I need is missing,,,,,,
05/20-0334,Prevention+risk EN,,to have a executive meeting how many people can be there inside.,,,,,
05/20-0335,Symptoms FR,,Je cherche les règlements concernant le coronavirus et les rassemblements,,,,,
05/20-0336,Prevention+risk EN,The information isn’t clear,"No definition of ""prolonged exposure"". No discussion of disease transmission indoors, e.g. an office. No discussion of how the virus spreads through air currents, e.g. HVAC equipment.",,,,,
05/20-0337,Symptoms FR,,"je cherche des informations sur les endroits, surfaces, objets, personnes, vêtements où le virus se dépose et risque d'infecter une personne et sur leur persistance sur ces lieux où il se dépose",,,,,
05/20-0338,Symptoms FR,I’m not in the right place,,,,,,
05/20-0339,Prevention+risk EN,The information isn’t clear,,,,,,
05/20-0340,Prevention+risk EN,The answer I need is missing,Can the family visit,,,,,
05/20-0341,Symptoms EN,I’m not in the right place,,,,,,
05/20-0342,Symptoms FR,The information isn’t clear,,,,,,
05/20-0343,Prevention+risks FR,The answer I need is missing,Je veus savoir si je peus embarquer en auto ma belle sœur qui est handicapé en auto . Moi et mon mari allons être en avant et elle derrière moi avec un masque.elle s’ennuie de ses parents qui sont en résidence et eux peuvent sortir dehors avec une distance.ais je le droit,,,,,
05/20-0344,Symptoms FR,The answer I need is missing,J’ai le covid je veux savoir combien de temps en moyenne cela prend pour guérir? Je veux également savoir après combien de temps les symptômes sont les plus graves.,,,,,
05/20-0345,Prevention+risk EN,The answer I need is missing,Who can visit you at home and how many,,,,,
05/20-0346,Symptoms FR,The answer I need is missing,"Où on peut se faire tester là, en ce moment!",,,,,
05/20-0347,Symptoms EN,The answer I need is missing,What should you do to help your body fight the virus? Is vigorous exercise okay if your symptoms are mild?,,,,,
05/20-0348,Symptoms EN,The answer I need is missing,Doesn't matter. We are going to get screwed by the government in the end anyway then we will be in financial ruin.,,,,,
05/20-0349,Prevention+risks FR,The answer I need is missing,Peut-on faire rassemblement moins de 25 personnes,,,,,
05/20-0350,Symptoms FR,The answer I need is missing,UNE PERSONNE EXPOSER A UNE AUTRE QUI A TESTER POSOTIF UNE PER§SONNE JULIE QUI EST TESTER POSITITIF A ETE EN CONTACT DE PRES AVEC UNE AUTRE PERSONNE ALAIN IL CE SONT EMBRASSER LA QUESTION ALAIN EST ALLER DE FAIRE TESTER 2 JOURS APRES RECOIT UNE REPONSE NEGATIVE DOIT TIL ETRE EN 40 TAINE EN CAS,,,,,
05/20-0351,Symptoms EN,I’m not in the right place,"I phoned 1 888 COVID-19. After Q & A, hospital also check menengitis, and also if 1 calf has pain. Pain/cramp in neck. Pain in 1 knee, breathing short, quickly. copd, Mrsa, diabetes II, Bipolar II",,,,,
05/20-0352,Symptoms FR,The answer I need is missing,j ai passer le test pour la covid 19 mardi le 12 mai et j ai pas hu de reponce,,,,,
05/20-0353,Prevention+risks FR,The answer I need is missing,L’un de mes locataires reçoit des amis chez lui,,,,,
05/20-0354,Prevention+risks FR,,Venant de Belgique mon voyage prévu du 9 au 20 juin est-il autorisé,,,,,
05/20-0355,Symptoms EN,The information isn’t clear,,,,,,
05/20-0356,Prevention+risk EN,The information isn’t clear,,,,,,
05/20-0357,Symptoms EN,The answer I need is missing,"what preacuation to be done if you have covid 19 positive asympomatic- should use steam inhalation/hot drinks,not using AC etc what precaution to be done-to reduce the risk of developing symptoms",,,,,
05/20-0358,Symptoms EN,I’m not in the right place,,,,,,
05/20-0359,Symptoms EN,The answer I need is missing,How do they test for the virus and what if there is chest or related area pain,,,,,
05/20-0360,Symptoms EN,The information isn’t clear,What is it?,,,,,
05/20-0361,Symptoms FR,I’m not in the right place,"mon conjoint veut aller en auto avec son frère, ils ne demeurent pas dans la même maison, est-ce qu'ils peuvent faire ça? Ils ne respectent pas le 2 mètres. Faut-il qu'ils portent un masque?",,,,,
05/20-0362,Symptoms EN,,"Organ damage, immune system compromised over 65yr olds",,,,,
05/20-0363,Symptoms FR,,Je suis allé dans un maxi au carrefour du Nord à St-Jerome une annonce de de l’entreprise dit qu’ils ont eu deux employés atteints de la Covid19 est ce je dois m’isoler puis je recevoir une prestation puisque je dois m’isoler pendant 14 jours,,,,,
05/20-0364,Symptoms EN,The answer I need is missing,,,,,,
05/20-0365,Prevention+risks FR,The answer I need is missing,Après avoir tester positif et après la quarantaine esque la relations sexueles sont permis,,,,,
05/20-0366,Prevention+risks FR,I’m not in the right place,Est-il defendu d'avoir de la visite dans la maison Que faire avec les toilettes,,,,,
05/20-0367,Symptoms EN,,want to no lab results for testing of covid,,,,,
05/20-0368,Prevention+risk EN,Other reason,"We have a costume shop and also sell souvigner t-shirts and giftware. What recommendation is for a small business like up as far as trying on clothing? Gary Balckmore , All Decked Out Costume Rentals and Trophies. Miramichi, NB",,,,,
05/20-0369,Symptoms EN,,"if at home, what can you treat your virus with?",,,,,
05/20-0370,Symptoms EN,The answer I need is missing,,,,,,
05/20-0371,Prevention+risks FR,The answer I need is missing,,,,,,
05/20-0372,Symptoms EN,Other reason,I am a kidney transplant Person. I have lymphoma and I have recently been in remission from ITP Purpura. I’m being followed by my position with blood work monthly but if I was to come in contact with an infected person with COVID-19 does that mean I will get it for sure and not be able to fight it,,,,,
05/20-0373,Symptoms EN,The answer I need is missing,what are the symptoms for seniors?,,,,,
05/20-0374,Symptoms FR,The answer I need is missing,Je cherche la durée des symptômes en phase aiguë (active) de la maladie,,,,,
05/20-0375,Symptoms EN,The answer I need is missing,,,,,,
05/20-0376,Symptoms EN,,Update the numbers of confirmed cases and deaths and any other relevant information on Vancouver Island specifically such as restricted ferry crossings etc.,,,,,
05/20-0377,,,,,,,,
05/20-0378,,,,,,,,
05/20-0379,,,,,,,,
05/20-0380,,,,,,,,
05/20-0381,,,,,,,,
05/20-0382,,,,,,,,
05/20-0383,,,,,,,,
05/20-0384,,,,,,,,
05/20-0385,,,,,,,,
05/20-0386,,,,,,,,
05/20-0387,,,,,,,,
